obs_id,true_value,meas_value,corr_value,diff(%)
3, 25.5133  28.3312 0.800367 0.913709, 25.3948  28.0156 0.783126 0.938631, 25.4474   28.055 0.785704 0.927009,-0.258255 -0.974935    -1.832   1.45551
4, 29.0564  8.04014  1.19331 -0.90761,  29.4405   8.11568   1.17634 -0.857249, 29.4335  8.03976  1.17846 -0.86859,    1.29771 -0.00475643    -1.24496    -4.29921
8, 16.3073  21.1944 0.705534 0.888365, 16.5486  21.5006   0.7122 0.956741, 16.5079  21.4387 0.733839  0.91519,1.23016 1.15291 4.01185 3.01959
10, 13.9204   31.212 -1.01197  0.92036, 13.7621  31.4858 -1.02367 0.924418, 13.8089  31.4032 -1.04106 0.903877,-0.801164  0.612463   2.87455  -1.79092
12,  4.45525   9.57454  -1.15554 -0.976513,  4.63985   9.50305  -1.18655 -0.969963,  4.66342   9.42449  -1.18288 -0.977097,   4.6726  -1.56724   2.36654 0.0597809
13, 17.3064  31.7887 0.997106  1.19529, 17.4025  31.8013 0.955925  1.21273,17.3363 31.8128 0.98595 1.20779,0.173042 0.075673 -1.11892  1.04587
14,  11.5882  -1.26437  0.812975 -0.866144,  11.8343  -1.03114  0.818994 -0.889015,  11.7558  -1.08234  0.816483 -0.869583,  1.4464 -14.3964 0.431535  0.39709
15,-0.980609    10.365 -0.624999 -0.719579, -1.28378   10.0011 -0.629126 -0.726576,  -1.2756   10.0696 -0.628146 -0.724563, 30.0823  -2.8497 0.503636 0.692647
16, 19.7099  30.7239 0.992117 0.773403, 19.8042   30.688 0.969321 0.765506, 19.8367  30.6904 0.974995  0.78567, 0.642849 -0.108963  -1.72581   1.58614
18,  25.1407   12.6757   0.96444 -0.630509,  24.8825   12.6573  0.907798 -0.591286,  25.0105   12.6223  0.941996 -0.596416,-0.517701 -0.421046  -2.32709  -5.40728
19, 20.2725  6.61656  1.18179 -0.64807,  20.4824   6.68745   1.25011 -0.665559,   20.417   6.62982   1.22707 -0.650284,0.712725 0.200412  3.83217 0.341549
22, 21.4346  2.93957 0.692302 -1.19072, 21.5308  3.03117 0.683794 -1.24124, 21.5985  2.96842 0.686705 -1.24756,0.764768 0.981397 -0.80853  4.77387
24,-0.516327    8.1571  -1.08467  -1.03876,-0.402306   7.93411  -1.03214 -0.957991,-0.491467   7.94635  -1.05802 -0.989827, -4.8148 -2.58363 -2.45734 -4.71028
1,  18.0787   12.1189   0.81513 -0.615168,  17.8811   11.9717  0.867767 -0.628786,  17.9227   11.9931  0.838017 -0.601035,-0.863083  -1.03802   2.80783  -2.29747
2,  12.9235   32.6735 -0.814928  0.728628,  13.0949   32.2811 -0.881968  0.720879,  13.0585   32.3873 -0.859058  0.707813,  1.04462 -0.875966   5.41518  -2.85672
3, 25.5399  28.3617 0.800367 0.913709, 25.7531  28.3935 0.810653 0.972051, 25.6902  28.3243 0.801159 0.954886, 0.588509 -0.131684 0.0990324   4.50654
4, 29.0962  8.00988  1.19331 -0.90761,  28.8886   8.24256    1.1297 -0.892998,    29.02   8.19033   1.14825 -0.883645,-0.261859   2.25282  -3.77628  -2.64047
8, 16.3308   21.224 0.705534 0.888365, 16.1921    21.34 0.674858 0.908469, 16.2686  21.3691 0.697343  0.91102,-0.38124 0.683757 -1.16103  2.55012
10, 13.8867  31.2427 -1.01197  0.92036,  13.4427   31.4062 -0.981309  0.920986, 13.5175  31.4123 -1.00418 0.914448, -2.65878  0.543041 -0.770324 -0.642403
12,  4.41673   9.54199  -1.15554 -0.976513, 3.98518  9.69051 -1.22662 -1.00135, 4.12892  9.62323 -1.20999 -0.99205,-6.51626 0.851412  4.71284   1.5911
13, 17.3396  31.8286 0.997106  1.19529,17.0933 31.8191 1.04349 1.22087,17.1555 31.8267 1.02147 1.21587,    -1.0617 -0.00570493     2.44385     1.72192
14,  11.6153  -1.29324  0.812975 -0.866144,  11.7439  -1.48938  0.868595 -0.896014,  11.7528  -1.40432  0.848685 -0.885967, 1.1835 8.58917 4.39253 2.28871
15, -1.00144    10.341 -0.624999 -0.719579,-0.953205   10.0054 -0.674092 -0.716491, -1.03059   10.0144 -0.656498  -0.71958,    2.91103    -3.15799     5.03992 9.11159e-05
16,  19.743  30.7497 0.992117 0.773403, 19.7234  31.0206 0.931739 0.754851, 19.7561  30.9521 0.948242 0.766662,0.0663606  0.658349  -4.42233 -0.871562
18,  25.1728   12.6547   0.96444 -0.630509,  24.6862   12.4064  0.992938 -0.660621,  24.7664   12.4504  0.973434 -0.636122,-1.61459 -1.61381 0.932591 0.890257
19, 20.3119  6.59496  1.18179 -0.64807,  20.5139   6.21544   1.17144 -0.674522,  20.5012   6.30381    1.1927 -0.665315, 0.93163 -4.41476 0.923192  2.66086
22, 21.4577  2.89988 0.692302 -1.19072, 21.3336  2.91026 0.652656 -1.16215, 21.3983  2.91415 0.665624 -1.19478,-0.276586   0.49219   -3.8535  0.340933
24,-0.552483   8.12247  -1.08467  -1.03876,-0.783572   8.10424  -1.12355  -1.07017,-0.725873    8.0611  -1.09855  -1.03946,  31.3838 -0.755545   1.27927 0.0673881
1,  18.1059   12.0984   0.81513 -0.615168,  18.1011    12.016  0.878135 -0.697448,  18.0673   12.0062  0.862831 -0.660616,  -0.2131 -0.762567   5.85191   7.38786
